Date,Issue number,Weekday,Sequence,Random Sequence
1893-05-12,,Friday,113,2091
1893-05-13,,Saturday,114,3359
1893-05-15,,Monday,115,425
1893-05-16,,Tuesday,116,170
1893-05-17,,Wednesday,117,2047
1893-05-18,,Thursday,118,3373
1893-05-19,,Friday,119,2883
1893-05-20,,Saturday,120,2834
1893-05-22,,Monday,121,3027
1893-05-23,,Tuesday,122,1380
1893-05-24,,Wednesday,123,2824
1893-05-25,,Thursday,124,867
1893-05-26,,Friday,125,185
1893-05-27,,Saturday,126,705
1893-05-29,,Monday,127,3313
1893-05-30,,Tuesday,128,182
1893-05-31,,Wednesday,129,3743
1893-06-01,,Thursday,130,1640
1893-06-02,,Friday,131,1754
1893-06-03,,Saturday,132,2801
1893-06-05,,Monday,133,1859
1893-06-06,,Tuesday,134,289
1893-06-07,,Wednesday,135,2533
1893-06-08,,Thursday,136,1461
1893-06-09,,Friday,137,1959
1893-06-10,,Saturday,138,833
1893-06-12,,Monday,139,305
1893-06-13,,Tuesday,140,2530
1893-06-14,,Wednesday,141,989
1893-06-15,,Thursday,142,910
1893-06-16,,Friday,143,1433
1893-06-17,,Saturday,144,773
1893-06-19,,Monday,145,2585
1893-06-20,,Tuesday,146,574
1893-06-21,,Wednesday,147,3605
1893-06-22,,Thursday,148,323
1893-06-23,,Friday,149,443
1893-06-24,,Saturday,150,350
1893-06-26,,Monday,151,3127
1893-06-27,,Tuesday,152,1762
1893-06-28,,Wednesday,153,1523
1893-06-29,,Thursday,154,3111
1893-06-30,,Friday,155,1228
1893-07-01,,Saturday,156,2669
1893-07-03,,Monday,157,1618
1893-07-04,,Tuesday,158,982
1893-07-05,,Wednesday,159,1891
1893-07-06,,Thursday,160,814
1893-07-07,,Friday,161,2529
1893-07-08,,Saturday,162,3048
1893-07-10,,Monday,163,1373
1893-07-11,,Tuesday,164,2010
1893-07-12,,Wednesday,165,914
1893-07-13,,Thursday,166,1584
1893-07-14,,Friday,167,2390
1893-07-15,,Saturday,168,1736
1893-07-17,,Monday,169,1165
1893-07-18,,Tuesday,170,2875
1893-07-19,,Wednesday,171,1578
1893-07-20,,Thursday,172,2885
1893-07-21,,Friday,173,2496
1893-07-22,,Saturday,174,907
1893-07-24,,Monday,175,480
1893-07-25,,Tuesday,176,3600
1893-07-26,,Wednesday,177,1671
1893-07-27,,Thursday,178,288
1893-07-28,,Friday,179,2408
1893-07-29,,Saturday,180,706
1893-07-31,,Monday,181,1417
1893-08-01,,Tuesday,182,810
1893-08-02,,Wednesday,183,3311
1893-08-03,,Thursday,184,3561
1893-08-04,,Friday,185,3244
1893-08-05,,Saturday,186,2293
1893-08-07,,Monday,187,533
1893-08-08,,Tuesday,188,1439
1893-08-09,,Wednesday,189,768
1893-08-10,,Thursday,190,1811
1893-08-11,,Friday,191,1885
1893-08-12,,Saturday,192,3413
1893-08-14,,Monday,193,1748
1893-08-15,,Tuesday,194,2123
1893-08-16,,Wednesday,195,1868
1893-08-17,,Thursday,196,3073
1893-08-18,,Friday,197,2909
1893-08-19,,Saturday,198,1175
1893-08-21,,Monday,199,1945
1893-08-22,,Tuesday,200,2443
1893-08-23,,Wednesday,201,2557
1893-08-24,,Thursday,202,1397
1893-08-25,,Friday,203,3190
1893-08-26,,Saturday,204,2622
1893-08-28,,Monday,205,548
1893-08-29,,Tuesday,206,2152
1893-08-30,,Wednesday,207,77
1893-08-31,,Thursday,208,1402
1893-09-01,,Friday,209,2673
1893-09-02,,Saturday,210,1801
1893-09-04,,Monday,211,430
1893-09-05,,Tuesday,212,273
1893-09-06,,Wednesday,213,2148
1893-09-07,,Thursday,214,485
1893-09-08,,Friday,215,2655
1893-09-09,,Saturday,216,2302
1893-09-11,,Monday,217,3188
1893-09-12,,Tuesday,218,3345
1893-09-13,,Wednesday,219,1377
1893-09-14,,Thursday,220,1081
1893-09-15,,Friday,221,3738
1893-09-16,,Saturday,222,32
1893-09-18,,Monday,223,1010
1893-09-19,,Tuesday,224,3246
1893-09-20,,Wednesday,225,1786
1893-09-21,,Thursday,226,3352
1893-09-22,,Friday,227,850
1893-09-23,,Saturday,228,1039
1893-09-25,,Monday,229,817
1893-09-26,,Tuesday,230,985
1893-09-27,,Wednesday,231,2371
1893-09-28,,Thursday,232,411
1893-09-29,,Friday,233,3564
1893-09-30,,Saturday,234,173
1893-10-02,,Monday,235,3710
1893-10-03,,Tuesday,236,3547
1893-10-04,,Wednesday,237,2265
1893-10-05,,Thursday,238,2642
1893-10-06,,Friday,239,1437
1893-10-07,,Saturday,240,3424
1893-10-09,,Monday,241,111
1893-10-10,,Tuesday,242,1301
1893-10-11,,Wednesday,243,3647
1893-10-12,,Thursday,244,1849
1893-10-13,,Friday,245,3734
1893-10-14,,Saturday,246,901
1893-10-16,,Monday,247,2088
1893-10-17,,Tuesday,248,340
1893-10-18,,Wednesday,249,2998
1893-10-19,,Thursday,250,1769
1893-10-20,,Friday,251,595
1893-10-21,,Saturday,252,3693
1893-10-23,,Monday,253,2477
1893-10-24,,Tuesday,254,904
1893-10-25,,Wednesday,255,791
1893-10-26,,Thursday,256,2638
1893-10-27,,Friday,257,657
1893-10-28,,Saturday,258,3008
1893-10-30,,Monday,259,1692
1893-10-31,,Tuesday,260,3414
1893-11-01,,Wednesday,261,1088
1893-11-02,,Thursday,262,2053
1893-11-03,,Friday,263,632
1893-11-04,,Saturday,264,2957
1893-11-06,,Monday,265,899
1893-11-07,,Tuesday,266,564
1893-11-08,,Wednesday,267,377
1893-11-09,,Thursday,268,1303
1893-11-10,,Friday,269,811
1893-11-11,,Saturday,270,2980
1893-11-13,,Monday,271,797
1893-11-14,,Tuesday,272,366
1893-11-15,,Wednesday,273,3109
1893-11-16,,Thursday,274,1341
1893-11-17,,Friday,275,1973
1893-11-18,,Saturday,276,2502
1893-11-20,,Monday,277,2338
1893-11-21,,Tuesday,278,2650
1893-11-22,,Wednesday,279,1406
1893-11-23,,Thursday,280,1389
1893-11-24,,Friday,281,759
1893-11-25,,Saturday,282,3685
1893-11-27,,Monday,283,2303
1893-11-28,,Tuesday,284,1824
1893-11-29,,Wednesday,285,1076
1893-11-30,,Thursday,286,865
1893-12-01,,Friday,287,1418
1893-12-02,,Saturday,288,2100
1893-12-04,,Monday,289,2946
1893-12-05,,Tuesday,290,2903
1893-12-06,,Wednesday,291,3134
1893-12-07,,Thursday,292,3287
1893-12-08,,Friday,293,2313
1893-12-09,,Saturday,294,538
1893-12-11,,Monday,295,3643
1893-12-12,,Tuesday,296,210
1893-12-13,,Wednesday,297,219
1893-12-14,,Thursday,298,1278
1893-12-15,,Friday,299,1894
1893-12-16,,Saturday,300,1481
1893-12-18,,Monday,301,1571
1893-12-19,,Tuesday,302,2559
1893-12-20,,Wednesday,303,3586
1893-12-21,,Thursday,304,1620
1893-12-22,,Friday,305,1329
1893-12-23,,Saturday,306,1529
1893-12-25,,Monday,307,1123
1893-12-26,,Tuesday,308,2297
1893-12-27,,Wednesday,309,3648
1893-12-28,,Thursday,310,381
1893-12-29,,Friday,311,1208
1893-12-30,,Saturday,312,1325
1894-01-01,,Monday,313,1232
1894-01-02,,Tuesday,314,80
1894-01-03,,Wednesday,315,1292
1894-01-04,,Thursday,316,1035
1894-01-05,,Friday,317,3017
1894-01-06,,Saturday,318,3429
1894-01-08,,Monday,319,3435
1894-01-09,,Tuesday,320,1680
1894-01-10,,Wednesday,321,3177
1894-01-11,,Thursday,322,2920
1894-01-12,,Friday,323,3487
1894-01-13,,Saturday,324,2788
1894-01-15,,Monday,325,3690
1894-01-16,,Tuesday,326,2389
1894-01-17,,Wednesday,327,3307
1894-01-18,,Thursday,328,951
1894-01-19,,Friday,329,459
1894-01-20,,Saturday,330,3506
1894-01-22,,Monday,331,760
1894-01-23,,Tuesday,332,1520
1894-01-24,,Wednesday,333,2979
1894-01-25,,Thursday,334,2314
1894-01-26,,Friday,335,413
1894-01-27,,Saturday,336,2579
1894-01-29,,Monday,337,684
1894-01-30,,Tuesday,338,336
1894-01-31,,Wednesday,339,1459
1894-02-01,,Thursday,340,236
1894-02-02,,Friday,341,2256
1894-02-03,,Saturday,342,1083
1894-02-05,,Monday,343,774
1894-02-06,,Tuesday,344,1266
1894-02-07,,Wednesday,345,3528
1894-02-08,,Thursday,346,928
1894-02-09,,Friday,347,1200
1894-02-10,,Saturday,348,2705
1894-02-12,,Monday,349,2169
1894-02-13,,Tuesday,350,520
1894-02-14,,Wednesday,351,401
1894-02-15,,Thursday,352,3662
1894-02-16,,Friday,353,2600
1894-02-17,,Saturday,354,3613
1894-02-19,,Monday,355,1392
1894-02-20,,Tuesday,356,302
1894-02-21,,Wednesday,357,1962
1894-02-22,,Thursday,358,1036
1894-02-23,,Friday,359,816
1894-02-24,,Saturday,360,3195
1894-02-26,,Monday,361,3086
1894-02-27,,Tuesday,362,1020
1894-02-28,,Wednesday,363,286
1894-03-01,,Thursday,364,594
1894-03-02,,Friday,365,1552
1894-03-03,,Saturday,366,3266
1894-03-05,,Monday,367,954
1894-03-06,,Tuesday,368,1404
1894-03-07,,Wednesday,369,3683
1894-03-08,,Thursday,370,1504
1894-03-09,,Friday,371,3539
1894-03-10,,Saturday,372,2222
1894-03-12,,Monday,373,3167
1894-03-13,,Tuesday,374,1536
1894-03-14,,Wednesday,375,2344
1894-03-15,,Thursday,376,2325
1894-03-16,,Friday,377,2115
1894-03-17,,Saturday,378,1538
1894-03-19,,Monday,379,955
1894-03-20,,Tuesday,380,2114
1894-03-21,,Wednesday,381,207
1894-03-22,,Thursday,382,2299
1894-03-23,,Friday,383,3482
1894-03-24,,Saturday,384,176
1894-03-26,,Monday,385,138
1894-03-27,,Tuesday,386,2745
1894-03-28,,Wednesday,387,382
1894-03-29,,Thursday,388,1997
1894-03-30,,Friday,389,942
1894-03-31,,Saturday,390,1057
1894-04-02,,Monday,391,612
1894-04-03,,Tuesday,392,2221
1894-04-04,,Wednesday,393,3097
1894-04-05,,Thursday,394,1198
1894-04-06,,Friday,395,1223
1894-04-07,,Saturday,396,2972
1894-04-09,,Monday,397,1287
1894-04-10,,Tuesday,398,1657
1894-04-11,,Wednesday,399,2551
1894-04-12,,Thursday,400,3043
1894-04-13,,Friday,401,710
1894-04-14,,Saturday,402,2504
1894-04-16,,Monday,403,2147
1894-04-17,,Tuesday,404,1887
1894-04-18,,Wednesday,405,1462
1894-04-19,,Thursday,406,2188
1894-04-20,,Friday,407,1764
1894-04-21,,Saturday,408,3144
1894-04-23,,Monday,409,690
1894-04-24,,Tuesday,410,2637
1894-04-25,,Wednesday,411,3497
1894-04-26,,Thursday,412,2540
1894-04-27,,Friday,413,1328
1894-04-28,,Saturday,414,2797
1894-04-30,,Monday,415,798
1894-05-01,,Tuesday,416,1605
1894-05-02,,Wednesday,417,2838
1894-05-03,,Thursday,418,2351
1894-05-04,,Friday,419,769
1894-05-05,,Saturday,420,1731
1894-05-07,,Monday,421,1638
1894-05-08,,Tuesday,422,1394
1894-05-09,,Wednesday,423,3454
1894-05-10,,Thursday,424,2521
1894-05-11,,Friday,425,54
1894-05-12,,Saturday,426,441
1894-05-14,,Monday,427,946
1894-05-15,,Tuesday,428,3504
1894-05-16,,Wednesday,429,2841
1894-05-17,,Thursday,430,2597
1894-05-18,,Friday,431,3438
1894-05-19,,Saturday,432,1516
1894-05-21,,Monday,433,2258
1894-05-22,,Tuesday,434,2510
1894-05-23,,Wednesday,435,1654
1894-05-24,,Thursday,436,1273
1894-05-25,,Friday,437,1194
1894-05-26,,Saturday,438,3316
1894-05-28,,Monday,439,300
1894-05-29,,Tuesday,440,497
1894-05-30,,Wednesday,441,410
1894-05-31,,Thursday,442,389
1894-06-01,,Friday,443,981
1894-06-02,,Saturday,444,1180
1894-06-04,,Monday,445,728
1894-06-05,,Tuesday,446,2607
1894-06-06,,Wednesday,447,2730
1894-06-07,,Thursday,448,135
1894-06-08,,Friday,449,2424
1894-06-09,,Saturday,450,30
1894-06-11,,Monday,451,702
1894-06-12,,Tuesday,452,317
1894-06-13,,Wednesday,453,796
1894-06-14,,Thursday,454,1252
1894-06-15,,Friday,455,1902
1894-06-16,,Saturday,456,3233
1894-06-18,,Monday,457,2694
1894-06-19,,Tuesday,458,1398
1894-06-20,,Wednesday,459,3591
1894-06-21,,Thursday,460,738
1894-06-22,,Friday,461,1064
1894-06-23,,Saturday,462,3346
1894-06-25,,Monday,463,2317
1894-06-26,,Tuesday,464,2073
1894-06-27,,Wednesday,465,1807
1894-06-28,,Thursday,466,2681
1894-06-29,,Friday,467,1220
1894-06-30,,Saturday,468,1051
1894-07-02,,Monday,469,726
1894-07-03,,Tuesday,470,3524
1894-07-04,,Wednesday,471,804
1894-07-05,,Thursday,472,2126
1894-07-06,,Friday,473,2561
1894-07-07,,Saturday,474,993
1894-07-09,,Monday,475,66
1894-07-10,,Tuesday,476,255
1894-07-11,,Wednesday,477,2194
1894-07-12,,Thursday,478,1708
1894-07-13,,Friday,479,2340
1894-07-14,,Saturday,480,2986
1894-07-16,,Monday,481,2276
1894-07-17,,Tuesday,482,3332
1894-07-18,,Wednesday,483,3365
1894-07-19,,Thursday,484,3398
1894-07-20,,Friday,485,2330
1894-07-21,,Saturday,486,48
1894-07-23,,Monday,487,2048
1894-07-24,,Tuesday,488,597
1894-07-25,,Wednesday,489,1078
1894-07-26,,Thursday,490,2457
1894-07-27,,Friday,491,2641
1894-07-28,,Saturday,492,1089
1894-07-30,,Monday,493,3634
1894-07-31,,Tuesday,494,3349
1894-08-01,,Wednesday,495,1817
1894-08-02,,Thursday,496,3104
1894-08-03,,Friday,497,2186
1894-08-04,,Saturday,498,2298
1894-08-06,,Monday,499,2482
1894-08-07,,Tuesday,500,1048
1894-08-08,,Wednesday,501,142
1894-08-09,,Thursday,502,2988
1894-08-10,,Friday,503,1102
1894-08-11,,Saturday,504,2037
1894-08-13,,Monday,505,683
1894-08-14,,Tuesday,506,3507
1894-08-15,,Wednesday,507,1667
1894-08-16,,Thursday,508,1424
1894-08-17,,Friday,509,1381
1894-08-18,,Saturday,510,2703
1894-08-20,,Monday,511,567
1894-08-21,,Tuesday,512,1842
1894-08-22,,Wednesday,513,3147
1894-08-23,,Thursday,514,2267
1894-08-24,,Friday,515,1202
1894-08-25,,Saturday,516,587
1894-08-27,,Monday,517,1841
1894-08-28,,Tuesday,518,1510
1894-08-29,,Wednesday,519,1781
1894-08-30,,Thursday,520,1028
1894-08-31,,Friday,521,848
1894-09-01,,Saturday,522,1390
1894-09-03,,Monday,523,3039
1894-09-04,,Tuesday,524,2744
1894-09-05,,Wednesday,525,2547
1894-09-06,,Thursday,526,1542
1894-09-07,,Friday,527,2433
1894-09-08,,Saturday,528,1407
1894-09-10,,Monday,529,1490
1894-09-11,,Tuesday,530,134
1894-09-12,,Wednesday,531,1921
1894-09-13,,Thursday,532,890
1894-09-14,,Friday,533,2800
1894-09-15,,Saturday,534,2997
1894-09-17,,Monday,535,1270
1894-09-18,,Tuesday,536,92
1894-09-19,,Wednesday,537,3035
1894-09-20,,Thursday,538,783
1894-09-21,,Friday,539,873
1894-09-22,,Saturday,540,3592
1894-09-24,,Monday,541,1733
1894-09-25,,Tuesday,542,2930
1894-09-26,,Wednesday,543,3469
1894-09-27,,Thursday,544,1049
1894-09-28,,Friday,545,2349
1894-09-29,,Saturday,546,1860
1894-10-01,,Monday,547,1675
1894-10-02,,Tuesday,548,715
1894-10-03,,Wednesday,549,2563
1894-10-04,,Thursday,550,3546
1894-10-05,,Friday,551,2375
1894-10-06,,Saturday,552,3513
1894-10-08,,Monday,553,1558
1894-10-09,,Tuesday,554,2270
1894-10-10,,Wednesday,555,510
1894-10-11,,Thursday,556,648
1894-10-12,,Friday,557,1384
1894-10-13,,Saturday,558,3226
1894-10-15,,Monday,559,788
1894-10-16,,Tuesday,560,374
1894-10-17,,Wednesday,561,435
1894-10-18,,Thursday,562,1345
1894-10-19,,Friday,563,606
1894-10-20,,Saturday,564,927
1894-10-22,,Monday,565,1984
1894-10-23,,Tuesday,566,3371
1894-10-24,,Wednesday,567,778
1894-10-25,,Thursday,568,1789
1894-10-26,,Friday,569,490
1894-10-27,,Saturday,570,89
1894-10-29,,Monday,571,2727
1894-10-30,,Tuesday,572,723
1894-10-31,,Wednesday,573,3652
1894-11-01,,Thursday,574,2159
1894-11-02,,Friday,575,3303
1894-11-03,,Saturday,576,1247
1894-11-05,,Monday,577,3054
1894-11-06,,Tuesday,578,1114
1894-11-07,,Wednesday,579,2182
1894-11-08,,Thursday,580,3724
1894-11-09,,Friday,581,3571
1894-11-10,,Saturday,582,1629
1894-11-12,,Monday,583,1007
1894-11-13,,Tuesday,584,1738
1894-11-14,,Wednesday,585,1027
1894-11-15,,Thursday,586,2890
1894-11-16,,Friday,587,1562
1894-11-17,,Saturday,588,2679
1894-11-19,,Monday,589,1454
1894-11-20,,Tuesday,590,179
1894-11-21,,Wednesday,591,2011
1894-11-22,,Thursday,592,1388
1894-11-23,,Friday,593,3181
1894-11-24,,Saturday,594,227
1894-11-26,,Monday,595,3019
1894-11-27,,Tuesday,596,1205
1894-11-28,,Wednesday,597,2138
1894-11-29,,Thursday,598,3116
1894-11-30,,Friday,599,396
1894-12-01,,Saturday,600,1839
1894-12-03,,Monday,601,2076
1894-12-04,,Tuesday,602,3486
1894-12-05,,Wednesday,603,1299
1894-12-06,,Thursday,604,1653
1894-12-07,,Friday,605,2850
1894-12-08,,Saturday,606,1633
1894-12-10,,Monday,607,1086
1894-12-11,,Tuesday,608,311
1894-12-12,,Wednesday,609,3164
1894-12-13,,Thursday,610,43
1894-12-14,,Friday,611,2570
1894-12-15,,Saturday,612,864
1894-12-17,,Monday,613,1080
1894-12-18,,Tuesday,614,367
1894-12-19,,Wednesday,615,1015
1894-12-20,,Thursday,616,1379
1894-12-21,,Friday,617,636
1894-12-22,,Saturday,618,3269
1894-12-24,,Monday,619,197
1894-12-25,,Tuesday,620,3243
1894-12-26,,Wednesday,621,2546
1894-12-27,,Thursday,622,229
1894-12-28,,Friday,623,2537
1894-12-29,,Saturday,624,2671
1894-12-31,,Monday,625,1952
1895-01-01,,Tuesday,626,1143
1895-01-02,,Wednesday,627,1359
1895-01-03,,Thursday,628,466
1895-01-04,,Friday,629,3257
1895-01-05,,Saturday,630,2462
1895-01-07,,Monday,631,3449
1895-01-08,,Tuesday,632,70
1895-01-09,,Wednesday,633,3587
1895-01-10,,Thursday,634,155
1895-01-11,,Friday,635,730
1895-01-12,,Saturday,636,3191
1895-01-14,,Monday,637,1916
1895-01-15,,Tuesday,638,2539
1895-01-16,,Wednesday,639,174
1895-01-17,,Thursday,640,208
1895-01-18,,Friday,641,418
1895-01-19,,Saturday,642,1160
1895-01-21,,Monday,643,2444
1895-01-22,,Tuesday,644,455
1895-01-23,,Wednesday,645,2748
1895-01-24,,Thursday,646,472
1895-01-25,,Friday,647,3577
1895-01-26,,Saturday,648,151
1895-01-28,,Monday,649,2257
1895-01-29,,Tuesday,650,1525
1895-01-30,,Wednesday,651,527
1895-01-31,,Thursday,652,1127
1895-02-01,,Friday,653,2700
1895-02-02,,Saturday,654,3318
1895-02-04,,Monday,655,2108
1895-02-05,,Tuesday,656,1828
1895-02-06,,Wednesday,657,1242
1895-02-07,,Thursday,658,1463
1895-02-08,,Friday,659,3439
1895-02-09,,Saturday,660,1848
1895-02-11,,Monday,661,599
1895-02-12,,Tuesday,662,361
1895-02-13,,Wednesday,663,3264
1895-02-14,,Thursday,664,603
1895-02-15,,Friday,665,1699
1895-02-16,,Saturday,666,1719
1895-02-18,,Monday,667,2224
1895-02-19,,Tuesday,668,2245
1895-02-20,,Wednesday,669,2356
1895-02-21,,Thursday,670,2063
1895-02-22,,Friday,671,102
1895-02-23,,Saturday,672,1712
1895-02-25,,Monday,673,711
1895-02-26,,Tuesday,674,3215
1895-02-27,,Wednesday,675,541
1895-02-28,,Thursday,676,1512
1895-03-01,,Friday,677,1323
1895-03-02,,Saturday,678,742
1895-03-04,,Monday,679,978
1895-03-05,,Tuesday,680,3432
1895-03-06,,Wednesday,681,2989
1895-03-07,,Thursday,682,1701
1895-03-08,,Friday,683,905
1895-03-09,,Saturday,684,1201
1895-03-11,,Monday,685,1581
1895-03-12,,Tuesday,686,2116
1895-03-13,,Wednesday,687,994
1895-03-14,,Thursday,688,620
1895-03-15,,Friday,689,1103
1895-03-16,,Saturday,690,556
1895-03-18,,Monday,691,1318
1895-03-19,,Tuesday,692,2336
1895-03-20,,Wednesday,693,3105
1895-03-21,,Thursday,694,1790
1895-03-22,,Friday,695,1298
1895-03-23,,Saturday,696,446
1895-03-25,,Monday,697,2316
1895-03-26,,Tuesday,698,1154
1895-03-27,,Wednesday,699,550
1895-03-28,,Thursday,700,2065
1895-03-29,,Friday,701,1949
1895-03-30,,Saturday,702,388
1895-04-01,,Monday,703,3259
1895-04-02,,Tuesday,704,2616
1895-04-03,,Wednesday,705,2552
1895-04-04,,Thursday,706,59
1895-04-05,,Friday,707,2693
1895-04-06,,Saturday,708,3212
1895-04-08,,Monday,709,756
1895-04-09,,Tuesday,710,2659
1895-04-10,,Wednesday,711,2634
1895-04-11,,Thursday,712,3003
1895-04-12,,Friday,713,624
1895-04-13,,Saturday,714,2783
1895-04-15,,Monday,715,1995
1895-04-16,,Tuesday,716,228
1895-04-17,,Wednesday,717,1029
1895-04-18,,Thursday,718,3735
1895-04-19,,Friday,719,1082
1895-04-20,,Saturday,720,2844
1895-04-22,,Monday,721,3689
1895-04-23,,Tuesday,722,1626
1895-04-24,,Wednesday,723,689
1895-04-25,,Thursday,724,3496
1895-04-26,,Friday,725,1191
1895-04-27,,Saturday,726,331
1895-04-29,,Monday,727,1230
1895-04-30,,Tuesday,728,2322
1895-05-01,,Wednesday,729,450
1895-05-02,,Thursday,730,570
1895-05-03,,Friday,731,3354
1895-05-04,,Saturday,732,2698
1895-05-06,,Monday,733,1580
1895-05-07,,Tuesday,734,2654
1895-05-08,,Wednesday,735,2105
1895-05-09,,Thursday,736,437
1895-05-10,,Friday,737,471
1895-05-11,,Saturday,738,3726
1895-05-13,,Monday,739,1505
1895-05-14,,Tuesday,740,27
1895-05-15,,Wednesday,741,2229
1895-05-16,,Thursday,742,2162
1895-05-17,,Friday,743,2230
1895-05-18,,Saturday,744,2019
1895-05-20,,Monday,745,1734
1895-05-21,,Tuesday,746,2171
1895-05-22,,Wednesday,747,2804
1895-05-23,,Thursday,748,1506
1895-05-24,,Friday,749,1659
1895-05-25,,Saturday,750,2811
1895-05-27,,Monday,751,2846
1895-05-28,,Tuesday,752,3742
1895-05-29,,Wednesday,753,1111
1895-05-30,,Thursday,754,1475
1895-05-31,,Friday,755,3021
1895-06-01,,Saturday,756,1812
1895-06-03,,Monday,757,3455
1895-06-04,,Tuesday,758,2862
1895-06-05,,Wednesday,759,859
1895-06-06,,Thursday,760,2627
1895-06-07,,Friday,761,1130
1895-06-08,,Saturday,762,877
1895-06-10,,Monday,763,53
1895-06-11,,Tuesday,764,1809
1895-06-12,,Wednesday,765,1182
1895-06-13,,Thursday,766,879
1895-06-14,,Friday,767,1599
1895-06-15,,Saturday,768,2813
1895-06-17,,Monday,769,2639
1895-06-18,,Tuesday,770,2391
1895-06-19,,Wednesday,771,761
1895-06-20,,Thursday,772,245
1895-06-21,,Friday,773,312
1895-06-22,,Saturday,774,3123
1895-06-24,,Monday,775,3383
1895-06-25,,Tuesday,776,3565
1895-06-26,,Wednesday,777,112
1895-06-27,,Thursday,778,1760
1895-06-28,,Friday,779,125
1895-06-29,,Saturday,780,2206
1895-07-01,,Monday,781,297
1895-07-02,,Tuesday,782,1075
1895-07-03,,Wednesday,783,3485
1895-07-04,,Thursday,784,1548
1895-07-05,,Friday,785,1513
1895-07-06,,Saturday,786,569
1895-07-08,,Monday,787,645
